Designator,Footprint,Quantity,Value,LCSC Part #
"+5V, INT1, INT2, TP2",TestPoint_Pad_1.5x1.5mm,4,TestPoint,
ANT,U.FL_Molex_MCRF_73412-0110_Vertical,1,Antenna_Shield,
BAT,PinHeader_1x02_P2.54mm_Vertical_SMD_Pin1Left,1,PWR,
"C1, C11, C16, C2, C3, C4, C5, C6, C7, C9",805,10,1uF,C344178
"C10, C12, C14, C15",805,4,4.7uF50V,
"C13, C17, C18, C19, C20, C22, C23, C8",805,8,100nF,C49678
"D1, D2, D3, D8, D9",D_SOD-123,5,MBR0530,
"D4, D5, D6",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,3,WS2812B,
D7,805,1,LED,
EINK1,TE_2-1734839-4_1x24-1MP_P0.5mm_Horizontal,1,FPCConn,
"H1, H2",MountingHole_2.2mm_M2,2,MountingHole,
"INT3, INT4, INT5, RX, TX",TestPoint_Pad_1.0x1.0mm,5,TestPoint,
"IO0, J1, RES1",PinHeader_1x02_P2.00mm_Vertical,3,Conn_01x02_Pin,
J3,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Conn_01x02_Pin,
"J5, J7",PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left,2,Conn_01x03_Pin,
J6,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08_Pin,
"J9, ON",SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,2,Conn_01x02_Pin,
JP2,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,SolderJumper_2_Bridged,
L1,1210,1,68uH1A,
Q1,SOT-323_SC-70,1,Si1308,
"R1, R10, R13, R18, R4",805,5,10K,C17414
"R11, R19",805,2,300K,C17616
"R12, R15, R16, R17, R2, R20, R21",805,7,100K,C149504
"R14, R3, R9",805,3,1K,C17513
R22,603,1,0R,
"R24, R25",603,2,10K,C17414
"R5, R6",805,2,5k11,
R7,805,1,0R,
R8,805,1,3R,
SI2,SOT-23,1,SI2301CDS,C10487 
"SW1, SW2",SW_SPST_CK_KMS2xxGP,2,SW_Push,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1-Espressif,
U2,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DS3,C967633
"U3, U8",TQFN-16_L3.0-W3.0-P0.50-BL-EP1.5,2,~,
U4,SOT-23-5,1,RT9013,
U5,HOPERF_RFM9XW_SMD,1,RFM95W-868S2,
U6,LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y,1,LIS3DH,C15134
U7,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,TP4065,
U9,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,1,BME280,
USB,USB-C_SMD-TYPE-C-31-M-12,1,KoreanHropartsElecTYPE-C-31-M-12,C165948
